Dificultad,Palabra
Fácil,casa
Fácil,perro
Fácil,gato
Fácil,sol
Fácil,luna
Fácil,flor
Fácil,árbol
Fácil,mesa
Fácil,silla
Fácil,agua
Fácil,fuego
Fácil,tierra
Fácil,aire
Fácil,pan
Fácil,leche
Fácil,sal
Fácil,gafas
Fácil,zapato
Fácil,mano
Fácil,pie
Fácil,ojo
Fácil,nariz
Fácil,boca
Fácil,camisa
Fácil,pantalón
Fácil,sombrero
Fácil,coche
Fácil,bus
Fácil,tren
Fácil,barco
Fácil,parque
Fácil,calle
Fácil,puerta
Fácil,ventana
Fácil,reloj
Fácil,libro
Fácil,cuadro
Fácil,bolsa
Fácil,llave
Fácil,cama
Fácil,radio
Fácil,playa
Fácil,nube
Fácil,lluvia
Fácil,viento
Fácil,río
Fácil,lago
Fácil,mar
Fácil,pájaro
Fácil,pez
Fácil,huevo
Fácil,queso
Fácil,fruta
Fácil,uva
Fácil,pera
Fácil,manzana
Fácil,plátano
Fácil,naranja
Fácil,fresa
Fácil,limón
Medio,elefante
Medio,computadora
Medio,montaña
Medio,teléfono
Medio,bicicleta
Medio,ciudad
Medio,jardín
Medio,escuela
Medio,hospital
Medio,restaurante
Medio,biblioteca
Medio,camión
Medio,avión
Medio,carretera
Medio,granero
Medio,mercado
Medio,heladería
Medio,panadería
Medio,ferretería
Medio,farmacia
Medio,teclado
Medio,pantalla
Medio,ratón
Medio,impresora
Medio,mochila
Medio,cuaderno
Medio,lápiz
Medio,tijeras
Medio,regla
Medio,diccionario
Medio,universidad
Medio,estudiante
Medio,profesor
Medio,examen
Medio,laboratorio
Medio,museo
Medio,teatro
Medio,estadio
Medio,estación
Medio,aeropuerto
Medio,montacargas
Medio,ascensor
Medio,escalera
Medio,balcón
Medio,cortina
Medio,almohada
Medio,cucharón
Medio,sartén
Medio,cacerola
Medio,vajilla
Difícil,hipopótamo
Difícil,paralelepípedo
Difícil,otorrinolaringólogo
Difícil,anticonstitucionalmente
Difícil,electroencefalografista
Difícil,desoxirribonucleico
Difícil,inconstitucionalidad
Difícil,esternocleidomastoideo
Difícil,antropomorfización
Difícil,psiconeuroinmunología
Difícil,cronoestereogeometría
Difícil,oftalmotorrinolaringología
Difícil,electrocardiografía
Difícil,microelectrónica
Difícil,termodinámica
Difícil,fotoestabilidad
Difícil,neuropsicofarmacología
Difícil,hipercolesterolemia
Difícil,bioluminiscencia
Difícil,hiperparatiroidismo
